Book Id  ,Title                                                                                    ,Author                      ,Author l-f                     ,Additional Authors                                                       ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                            ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read ,Date Added ,Bookshelves            ,Bookshelves with positions   ,Exclusive Shelf        ,My Review ,Spoiler ,Private Notes ,Read Count ,Recommended For ,Recommended By ,Owned Copies ,Original Purchase Date ,Original Purchase Location ,Condition ,Condition Description ,BCID
234225   ,"Dune (Dune Chronicles, #1)"                                                             ,Frank Herbert               ,"Herbert, Frank"               ,Domingo Santos                                                           ,"=""0340839937""" ,"=""9780340839935""" ,0         ,4.23           ,Hodder & Stoughton                   ,Paperback             ,604             ,2006           ,1965                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#10)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
4406     ,East of Eden                                                                             ,John Steinbeck              ,"Steinbeck, John"              ,                                                                         ,"=""0142000655""" ,"=""9780142000656""" ,0         ,4.38           ,Penguin Books                        ,Paperback             ,601             ,2002           ,1952                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#16)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
41817486 ,A Clockwork Orange                                                                       ,Anthony Burgess             ,"Burgess, Anthony"             ,                                                                         ,"=""0393341763""" ,"=""9780393341768""" ,0         ,3.99           ,W. W. Norton & Company               ,Paperback             ,213             ,2019           ,1962                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#11)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
4981     ,Slaughterhouse-Five                                                                      ,Kurt Vonnegut Jr.           ,"Jr., Kurt Vonnegut"           ,                                                                         ,"=""0385333846""" ,"=""9780385333849""" ,0         ,4.08           ,Dial Press                           ,Paperback             ,275             ,1999           ,1969                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#12)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
386162   ,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"            ,Douglas Adams               ,"Adams, Douglas"               ,                                                                         ,"="""""           ,"="""""              ,0         ,4.22           ,Del Rey                              ,Paperback             ,193             ,2007           ,1979                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#5)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
168668   ,"Catch-22 (Catch-22, #1)"                                                                ,Joseph Heller               ,"Heller, Joseph"               ,                                                                         ,"=""0684833395""" ,"=""9780684833392""" ,0         ,3.98           ,Simon & Schuster                     ,Paperback             ,453             ,2004           ,1961                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#15)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
41804    ,"I, Robot (Robot, #0.1)"                                                                 ,Isaac Asimov                ,"Asimov, Isaac"                ,                                                                         ,"=""0553803700""" ,"=""9780553803709""" ,0         ,4.20           ,Bantam Books                         ,Hardcover             ,224             ,2004           ,1950                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#14)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
29579    ,"Foundation (Foundation, #1)"                                                            ,Isaac Asimov                ,"Asimov, Isaac"                ,                                                                         ,"=""0553803719""" ,"=""9780553803716""" ,0         ,4.17           ,Bantam                               ,Hardcover             ,244             ,2004           ,1951                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#13)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
51496    ,The Strange Case of Dr. Jekyll and Mr. Hyde                                              ,Robert Louis Stevenson      ,"Stevenson, Robert Louis"      ,"Mervyn Peake, Théo Varlet, Patrick Horgan, Vladimir Nabokov, Dan Chaon" ,"=""0451528956""" ,"=""9780451528957""" ,0         ,3.82           ,Signet Classics                      ,Paperback             ,144             ,2003           ,1886                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#17)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
7624     ,Lord of the Flies                                                                        ,William Golding             ,"Golding, William"             ,                                                                         ,"=""0140283331""" ,"=""9780140283334""" ,0         ,3.69           ,Penguin Books                        ,Paperback             ,182             ,1999           ,1954                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#18)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
1420     ,Hamlet                                                                                   ,William Shakespeare         ,"Shakespeare, William"         ,"Harold Bloom, Rex Gibson"                                               ,"=""0521618746""" ,"=""9780521618748""" ,0         ,4.03           ,Cambridge University Press           ,Paperback             ,289             ,2005           ,1603                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#19)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
